Name,Continent,Region,IndepYear,Population,LifeExpectancy,GNP
Aruba,North America,Caribbean,NULL,103000,78.4,828
Afghanistan,Asia,Southern and Central Asia,1919,22720000,45.9,5976
Angola,Africa,Central Africa,1975,12878000,38.3,6648
Anguilla,North America,Caribbean,NULL,8000,76.1,63.2
Albania,Europe,Southern Europe,1912,3401200,71.6,3205
Andorra,Europe,Southern Europe,1278,78000,83.5,1630
Netherlands Antilles,North America,Caribbean,NULL,217000,74.7,1941
United Arab Emirates,Asia,Middle East,1971,2441000,74.1,37966
Argentina,South America,South America,1816,37032000,75.1,340238
Armenia,Asia,Middle East,1991,3520000,66.4,1813
American Samoa,Oceania,Polynesia,NULL,68000,75.1,334
Antarctica,Antarctica,Antarctica,NULL,0,NULL,0
French Southern territories,Antarctica,Antarctica,NULL,0,NULL,0
Antigua and Barbuda,North America,Caribbean,1981,68000,70.5,612
Australia,Oceania,Australia and New Zealand,1901,18886000,79.8,351182
Austria,Europe,Western Europe,1918,8091800,77.7,211860
Azerbaijan,Asia,Middle East,1991,7734000,62.9,4127
Burundi,Africa,Eastern Africa,1962,6695000,46.2,903
Belgium,Europe,Western Europe,1830,10239000,77.8,249704
Benin,Africa,Western Africa,1960,6097000,50.2,2357
Burkina Faso,Africa,Western Africa,1960,11937000,46.7,2425
Bangladesh,Asia,Southern and Central Asia,1971,129155000,60.2,32852
Bulgaria,Europe,Eastern Europe,1908,8190900,70.9,12178
Bahrain,Asia,Middle East,1971,617000,73,6366
Bahamas,North America,Caribbean,1973,307000,71.1,3527
Bosnia and Herzegovina,Europe,Southern Europe,1992,3972000,71.5,2841
Belarus,Europe,Eastern Europe,1991,10236000,68,13714
Belize,North America,Central America,1981,241000,70.9,630
Bermuda,North America,North America,NULL,65000,76.9,2328
Bolivia,South America,South America,1825,8329000,63.7,8571
Brazil,South America,South America,1822,170115000,62.9,776739
Barbados,North America,Caribbean,1966,270000,73,2223
Brunei,Asia,Southeast Asia,1984,328000,73.6,11705
Bhutan,Asia,Southern and Central Asia,1910,2124000,52.4,372
Bouvet Island,Antarctica,Antarctica,NULL,0,NULL,0
Botswana,Africa,Southern Africa,1966,1622000,39.3,4834
Central African Republic,Africa,Central Africa,1960,3615000,44,1054
Canada,North America,North America,1867,31147000,79.4,598862
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,NULL,600,NULL,0
Switzerland,Europe,Western Europe,1499,7160400,79.6,264478
Chile,South America,South America,1810,15211000,75.7,72949
China,Asia,Eastern Asia,-1523,1277558000,71.4,982268
CÃ´te dâ€™Ivoire,Africa,Western Africa,1960,14786000,45.2,11345
Cameroon,Africa,Central Africa,1960,15085000,54.8,9174
"Congo, The Democratic Republic of the",Africa,Central Africa,1960,51654000,48.8,6964
Congo,Africa,Central Africa,1960,2943000,47.4,2108
